251.874	268.501	263.49	312.632
322.345	312.417	281.609	304.784
304.584	334.375	376.732	391.111
309.741	299.705	333.7	359.72
299.428	270.812	315.582	328.328
257.03	283.525	317.846	375.415
274.219	286.992	270.285	289.088
271.354	290.459	292.933	344.024
262.76	266.19	279.344	257.697
254.739	258.1	229.518	242.001
240.988	265.034	256.696	312.632
241.561	241.92	274.815	289.088
210.05	236.142	231.783	336.176
249.009	232.675	236.312	265.545
209.477	207.25	215.929	226.305
223.8	188.759	243.107	242.001
210.05	211.872	254.431	234.153
196.872	238.453	209.134	218.457
185.986	209.561	229.518	179.218
183.121	188.759	202.34	281.24
188.278	230.363	206.87	234.153
167.652	186.447	200.075	281.24
175.1	193.381	211.399	234.153
193.434	204.938	188.751	179.218
206.612	169.112	236.312	242.001
179.111	196.848	184.221	210.609
177.392	209.561	218.194	257.697
192.288	178.357	229.518	218.457
187.132	222.274	206.87	265.545
184.84	208.405	191.016	187.065
193.434	178.357	215.929	257.697
185.986	193.381	204.605	304.784
187.132	196.848	197.81	257.697
214.633	211.872	218.194	179.218
192.861	194.537	200.075	304.784
188.851	214.184	206.87	249.849
195.726	187.603	195.545	249.849
186.559	196.848	222.723	336.176
222.081	229.208	195.545	249.849
188.851	211.872	209.134	242.001
199.737	206.094	272.55	249.849
207.185	237.297	252.166	304.784
220.362	233.83	236.312	242.001
211.195	222.274	263.49	296.936
229.529	251.166	261.226	234.153
240.988	263.878	252.166	249.849
237.551	275.435	236.312	289.088
237.551	240.765	254.431	257.697
268.489	286.992	249.901	234.153
250.728	266.19	290.668	296.936
259.322	261.567	299.728	383.263
277.656	297.393	301.993	336.176
279.375	283.525	297.463	359.72
290.261	304.327	349.554	383.263
309.741	322.818	320.111	289.088
289.688	307.794	335.965	320.48
362.451	354.022	349.554	367.568
344.117	344.776	383.527	398.959
341.825	392.159	376.732	367.568
364.17	348.243	369.938	398.959
352.138	384.07	347.289	391.111
396.827	359.8	399.381	391.111
361.878	382.914	419.764	383.263
389.379	397.938	424.294	422.503
384.223	380.603	374.467	438.199
396.254	362.112	444.677	320.48
381.358	335.531	349.554	422.503
379.639	401.405	444.677	398.959
394.536	388.692	406.175	359.72
367.607	351.71	410.705	312.632
333.804	337.842	422.029	367.568
357.295	360.956	392.586	430.351
309.741	351.71	356.349	383.263
367.035	386.381	363.143	265.545
353.284	338.998	342.76	383.263
322.918	310.106	345.024	320.48
298.282	304.327	283.874	328.328
254.739	280.058	331.435	328.328
259.322	256.944	288.404	312.632
234.113	243.076	279.344	296.936
220.362	221.118	238.577	312.632
245.572	215.339	213.664	273.393
204.32	202.627	265.755	249.849
